Gene	log2FC
ZNF687	0
PI4KB	0
RFX5	0
SELENBP1	0
PSMB4	0
POGZ	0
CGN	0
TUFT1	0
SNX27	0
MRPL9	0
OAZ3	0
TDRKH	0
LINGO4	0
RORC	0
C2CD4D	0
THEM4	0
TCHH	0
CRCT1	0
LCE1E	0
IVL	0
S100A9	0
S100A12	0
S100A8	0
S100A5	0
S100A3	0
S100A2	0
S100A16	0
S100A14	0
S100A13	0
CHTOP	0
SNAPIN	0
NPR1	0
INTS3	0
SLC27A3	0
GATAD2B	0
DENND4B	0
CRTC2	0
SLC39A1	0
CREB3L4	0
RAB13	0
UBAP2L	0
AQP10	0
ATP8B2	0
IL6R	0
SHE	0
TDRD10	0
UBE2Q1	0
KCNN3	0
PMVK	0
PYGO2	0
SHC1	0
CKS1B	0
FLAD1	0
ZBTB7B	0
DCST2	0
ADAM15	0
EFNA4	0
EFNA3	0
EFNA1	0
SLC50A1	0
DPM3	0
TRIM46	0
MUC1	0
THBS3	0
MTX1	0
GBA	0
FAM189B	0
SCAMP3	0
CLK2	0
HCN3	0
PKLR	0
FDPS	0
RUSC1	0
MSTO1	0
YY1AP1	0
DAP3	0
GON4L	0
SYT11	0
RIT1	0
ARHGEF2	0
UBQLN4	0
RAB25	0
MEX3A	0
SEMA4A	0
SLC25A44	0
PMF1-BGLAP	0
PMF1	0
BGLAP	0
PAQR6	0
SMG5	0
TMEM79	0
GLMP	0
TSACC	0
C1orf61	0
MEF2D	0
IQGAP3	0
TTC24	0
GPATCH4	0
HAPLN2	0
BCAN	0
NES	0
CRABP2	0
ISG20L2	0
RRNAD1	0
MRPL24	0
HDGF	0
PRCC	0
SH2D2A	0
NTRK1	0
INSRR	0
PEAR1	0
ARHGEF11	0
ETV3	0
FCRL5	0
FCRL4	0
FCRL3	0
FCRL2	0
FCRL1	0
CD5L	0
CD1D	0
CD1A	0
CD1C	0
CD1B	0
CD1E	0
MNDA	0
AIM2	0
CADM3	0
ACKR1	0
FCER1A	0
APCS	0
CRP	0
DUSP23	0
FCRL6	0
SLAMF8	0
VSIG8	0
CFAP45	0
IGSF9	0
SLAMF9	0
KCNJ10	0
PIGM	0
IGSF8	0
ATP1A2	0
ATP1A4	0
CASQ1	0
PEA15	0
DCAF8	0
PEX19	0
COPA	0
NCSTN	0
NHLH1	0
VANGL2	0
SLAMF6	0
SLAMF1	0
SLAMF7	0
LY9	0
CD244	0
ITLN1	0
F11R	0
USF1	0
KLHDC9	0
NIT1	0
DEDD	0
USP21	0
PPOX	0
B4GALT3	0
ADAMTS4	0
NDUFS2	0
APOA2	0
TOMM40L	0
NR1I3	0
MPZ	0
FCGR2A	0
HSPA6	0
FCGR2C	0
FCGR3B	0
FCGR2B	0
FCRLA	0
FCRLB	0
DUSP12	0
ATF6	0
OLFML2B	0
NOS1AP	0
SH2D1B	0
UHMK1	0
UAP1	0
DDR2	0
HSD17B7	0
RGS4	0
RGS5	0
NUF2	0
PBX1	0
RXRG	0
ALDH9A1	0
UCK2	0
FAM78B	0
POGK	0
TADA1	0
ILDR2	0
MAEL	0
GPA33	0
POU2F1	0
CREG1	0
MPZL1	0
ADCY10	0
DCAF6	0
GPR161	0
TIPRL	0
SFT2D2	0
TBX19	0
XCL2	0
XCL1	0
ATP1B1	0
NME7	0
BLZF1	0
CCDC181	0
SLC19A2	0
F5	0
SELP	0
C1orf112	0
SELL	0
METTL18	0
SCYL3	0
KIFAP3	0
GORAB	0
PRRX1	0
FMO3	0
FMO2	0
FMO1	0
FMO4	0
VAMP4	0
DNM3	0
PIGC	0
SUCO	0
FASLG	0
TNFSF18	0
TNFSF4	0
KLHL20	0
CENPL	0
DARS2	0
ZBTB37	0
SERPINC1	0
RC3H1	0
RABGAP1L	0
GPR52	0
MRPS14	0
TNN	0
KIAA0040	0
TNR	0
RASAL2	0
RALGPS2	0
ANGPTL1	0
FAM20B	0
TOR3A	0
ABL2	0
SOAT1	0
AXDND1	0
TOR1AIP2	0
TOR1AIP1	0
CEP350	0
QSOX1	0
LHX4	0
XPR1	0
KIAA1614	0
STX6	0
MR1	0
IER5	0
RGSL1	0
RNASEL	0
RGS16	0
NPL	0
DHX9	0
LAMC1	0
LAMC2	0
SMG7	0
NCF2	0
RGL1	0
COLGALT2	0
TSEN15	0
C1orf21	0
EDEM3	0
RNF2	0
TRMT1L	0
SWT1	0
IVNS1ABP	0
HMCN1	0
PRG4	0
OCLM	0
PTGS2	0
PLA2G4A	0
RGS18	0
RGS13	0
UCHL5	0
GLRX2	0
CDC73	0
B3GALT2	0
CFH	0
CFHR3	0
CFHR1	0
CFHR4	0
CFHR5	0
F13B	0
ASPM	0
ZBTB41	0
DENND1B	0
C1orf53	0
LHX9	0
NEK7	0
ATP6V1G3	0
NR5A2	0
ZNF281	0
KIF14	0
DDX59	0
CAMSAP2	0
GPR25	0
KIF21B	0
ASCL5	0
TMEM9	0
TNNT2	0
LAD1	0
TNNI1	0
PHLDA3	0
CSRP1	0
NAV1	0
IPO9	0
SHISA4	0
LMOD1	0
TIMM17A	0
RNPEP	0
ELF3	0
GPR37L1	0
ARL8A	0
LGR6	0
UBE2T	0
PPP1R12B	0
SYT2	0
KDM5B	0
RABIF	0
KLHL12	0
ADIPOR1	0
CYB5R1	0
TMEM183A	0
ADORA1	0
CHI3L1	0
CHIT1	0
PRELP	0
ATP2B4	0
LAX1	0
ZC3H11A	0
ZBED6	0
SOX13	0
ETNK2	0
KISS1	0
GOLT1A	0
PLEKHA6	0
PPP1R15B	0
PIK3C2B	0
LRRN2	0
NFASC	0
CNTN2	0
TMEM81	0
RBBP5	0
DSTYK	0
TMCC2	0
NUAK2	0
KLHDC8A	0
LEMD1	0
CDK18	0
ELK4	0
SLC45A3	0
RAB29	0
SLC41A1	0
PM20D1	0
RAB7B	0
FAM72A	0
SRGAP2	0
IKBKE	0
EIF2D	0
DYRK3	0
MAPKAPK2	0
IL10	0
IL19	0
IL20	0
IL24	0
PIGR	0
PFKFB2	0
YOD1	0
C4BPB	0
C4BPA	0
CR2	0
CR1	0
CR1L	0
CD46	0
CD34	0
PLXNA2	0
CAMK1G	0
LAMB3	0
G0S2	0
HSD11B1	0
C1orf74	0
IRF6	0
HHAT	0
RCOR3	0
TRAF5	0
SLC30A1	0
NEK2	0
LPGAT1	0
INTS7	0
DTL	0
PPP2R5A	0
NENF	0
FAM71A	0
BATF3	0
